"";"AB"
"OMONDI-OCHIENG P, 2019, J FINANC REPORT ACCOOUNT";"PURPOSE THIS STUDY AIMS TO PREDICT THE DETERMINANTS OF NET INCOME OF 101 US UNIVERSITY FOOTBALL PROGRAMS. DESIGN/METHODOLOGY/APPROACH GUIDED BY STAKEHOLDER THEORY, FINANCIAL CAPACITY MODEL AND RESOURCE DEPENDENCY THEORY, THE DEPENDENT VARIABLE WAS NET INCOME (INDICATED AS PROFIT OR LOSS) AND INDEPENDENT VARIABLES WERE MEASURED AS THE NUMBER OF WOMEN AND MEN'S TEAM SPORTS, AVERAGE HOME ATTENDANCES, WIN-LOSS RECORDS, CONFERENCE RANKING, ENDOWMENT FUNDS AND AGE OF FOOTBALL PROGRAMS. STATISTICAL ANALYSIS WAS PERFORMED USING KENDELL TAU AND BINARY LOGISTIC REGRESSION (BLR). FINDINGS NET INCOME WAS POSITIVELY AND STATISTICALLY ASSOCIATED WITH HOME ATTENDANCE, WIN-LOSS RECORD, CONFERENCE RANKINGS AND ENDOWMENT FUNDS, BUT NOT NUMBER OF WOMEN'S SPORTS, AGE OF FOOTBALL PROGRAM AND NUMBER OF MEN'S SPORTS TEAMS. THE BLR INDICATED THAT HOME ATTENDANCE WAS THE BEST PREDICTOR OF NET INCOME. RESEARCH LIMITATIONS/IMPLICATIONS - THE RESEARCH WAS DELIMITED TO 101 FOOTBALL BOWL SUBDIVISION FOOTBALL PROGRAMS FROM PUBLIC UNIVERSITIES. PRACTICAL IMPLICATIONS - THE FINDINGS INDICATE THAT HOME ATTENDANCE AND CONFERENCE RANKINGS HAD THE HIGHEST ASSOCIATION WITH NET INCOME, BUT THE FORMER WAS THE BEST PREDICTOR OF NET INCOME AND NOT FOOTBALL TRADITION NOR NUMBER OF SPORTS TEAMS. ORIGINALITY/VALUE THE STUDY WAS PIONEERING IN THE PREDICTIVE EVALUATION OF THE POSSIBLE DETERMINANTS OF LOSS OR PROFITABILITY IN COLLEGE FOOTBALL PROGRAMS."
"DA SILVA NO, 2019, CONTAB GEST GOV";"OBJECTIVE: THE PURPOSE OF THIS PAPER IS TO EVALUATE THE LEVEL OF MANDATORY DISCLOSURE OF BRAZILIAN SOCCER CLUBS IN ORDER TO VERIFY THE EXISTENCE OF A RELATIONSHIP BETWEEN ACCOUNTING DISCLOSURE, FINANCIAL PERFORMANCE, AND THE CLUBS' SPORTING PERFORMANCE. METHOD: WE EMPLOY A QUALITATIVE AND QUANTITATIVE RESEARCH METHOD BY EMPIRICALLY DEVELOPING A DISCLOSURE INDEX. THE DATA WERE COLLECTED ON THE WEBSITES OF SOCCER CLUBS AND THEIR FEDERATIONS. THE SAMPLE IS COMPOSED OF 76 BRAZILIAN SOCCER CLUBS BELONGING TO THE RANKING LIST OF THE BRAZILIAN FOOTBALL CONFEDERATION. A MULTIPLE LINEAR REGRESSION ALLOWED INVESTIGATING THE RELATIONSHIP BETWEEN THE MAIN VARIABLES OF THE STUDY. ORIGINALITY/RELEVANCE: THE WORK CONTRIBUTES TO A DISCUSSION ABOUT THE SOCCER PERFORMANCE AND THE CONFORMITY OF THE RECOGNITION, MEASUREMENT, AND DISCLOSURE OF THE ACCOUNTING ACTS AND FACTS OF THE BRAZILIAN SOCCER CLUBS. THESE ENTITIES HAVE BECOME IMPORTANT SOURCES OF BUSINESS AND STAKEHOLDERS ARE MORE INTERESTED IN THE TRANSPARENCY OF THEIR TRANSACTIONS. RESULTS: THERE IS A LOW ADHESION OF SPORTS ENTITIES TO THE MANDATORY DISCLOSURE REQUIREMENTS. IT WAS OBSERVED THAT OF THE 36 ITEMS OF MANDATORY DISCLOSURE, NO CLUB COMPLIED WITH 100\% OF THE RULES OF PUBLICATION, RECOGNITION, MEASUREMENT, AND DISCLOSURE ACCOUNTING. WHILE THE AVERAGE OF ALL CLUBS WAS 33.8\%, CLUBE DE REGATAS FLAMENGO AND SPORT CLUB INTERNACIONAL REPORTED 88.9\% OF THE MANDATORY DISCLOSURE. THEORETICAL/METHODOLOGICAL CONTRIBUTIONS: WE FIND THAT THE LEVEL OF MANDATORY DISCLOSURE IS POSITIVELY RELATED TO THE INTANGIBLE ASSET, REVENUE, SPORTS PERFORMANCE, LOCALITY OF THE CLUB AND THE PERIOD OF EXPERIENCE IN DISCLOSING THE MANDATORY ACCOUNTING ITEMS. SOCIAL/MANAGEMENT CONTRIBUTIONS: THIS ANALYSIS CAN PROVIDE INSIGHTS THAT ALLOW THE STAKEHOLDER TO OBSERVE THE LEVEL OF ECONOMIC AND SPORTS ORGANIZATION OF BRAZILIAN SOCCER CLUBS, AND THE DEGREE OF COMMITMENT TO TRANSPARENCY AND GOVERNANCE."
"JAVIER NUNEZ F, 2019, INT J SPORTS MED";"BASED ON THE HIGH FINANCIAL AND LOGISTICAL COSTS ASSOCIATED WITH THE ASSESSMENT OF BODY COMPOSITION WITH DUAL-ENERGY X-RAY ABSORPTIOMETRY (DXA), THIS STUDY DETERMINED WHICH FIELD METHOD HAS THE BEST CORRELATION WITH DXA DATA, AND DEVELOPED AN EQUATION TO ESTIMATE FAT-FREE MASS (FFM) USING THE FIELD ANTHROPOMETRIC DATA IN INTERNATIONAL SOCCER PLAYERS. A TOTAL OF 17 INTERNATIONAL SOCCER PLAYERS PARTICIPATED IN THIS STUDY. DXA VALUES PROVIDED A CRITERION MEASURE OF FFM. CORRELATION COEFFICIENTS, BIASES, LIMITS OF AGREEMENT, AND DIFFERENCES WERE USED AS VALIDITY MEASURES, AND REGRESSION ANALYSES WERE USED TO DEVELOP THE PREDICTION EQUATION. ALL FIELD METHODS USED TO OBTAIN FFM DATA SHOWED POSITIVE CORRELATIONS (R FROM 0.90-0.96) WITH DXA. ONLY THE EQUATION DEVELOPED BY DEURENBERG ET AL. [6] SHOWED NO DIFFERENCES FROM DXA WITH A LOW BIAS. THE MAIN STRENGTH OF THIS STUDY WAS PROVIDING A VALID AND ACCURATE EQUATION TO ESTIMATE FFM SPECIFICALLY IN INTERNATIONAL SOCCER PLAYERS."
"ALVARADO-VARGAS M, 2019, INT J SPORTS MARK SPONS";"PURPOSE THE PURPOSE OF THIS PAPER IS TO FOCUS ON TWO INTERNAL ORGANIZATIONAL FACTORS IN COLLEGE FOOTBALL TEAMS (TEAM POWERFULNESS AND TEAM REPUTATION) AND THEIR COMBINED RELATIONSHIP ON GAME ATTENDANCE. AUTHORS AIM TO VALIDATE NEW DATA PUBLISHED BY WALL STREET JOURNAL (WSJ) AND NCAA WEBSITES; AND TO DEVELOP A NEW CONCEPTUAL MODEL TO EXAMINE THE INTERACTION EFFECT OF TEAM POWERFULNESS AND TEAM REPUTATION ON GAME ATTENDANCE. DESIGN/METHODOLOGY/APPROACH THIS STUDY RELIES ON SECONDARY DATA COLLECTED FROM THE WSJ'S ``COLLEGE FOOTBALL'S GRID OF SHAME'' PUBLICATION AND THE NCAA OFFICIAL WEBSITE. DATA FOR 123 US COLLEGE FOOTBALL TEAMS ARE COLLECTED REPRESENTING 13 CONFERENCES FOR SEASONS 2010-2014. MULTI-LEVEL REGRESSIONS ARE UTILIZED FOR STATISTICAL ANALYSES. FINDINGS RESULTS REVEAL THAT NOT ONLY TEAM'S POWERFULNESS IS REQUIRED FOR MORE PUBLIC ATTENDANCE TO GAMES, BUT ALSO TEAM REPUTATION STRENGTHENS THIS RELATIONSHIP. IN OTHER WORDS, TEAM REPUTATION PLAYS AN IMPORTANT ROLE IN INCREASING GAMES' ATTENDANCE. TEAM REPUTATION ALONE DOES NOT BRING MORE ATTENDEES TO GAMES. ORIGINALITY/VALUE THIS PAPER STUDIES THE RELEVANCE OF TEAM REPUTATION IN THE FIELD OF SPORTS MANAGEMENT. THIS PAPER ARGUES THAT IN ORDER TO ACHIEVE SUPERIOR FINANCIAL BENEFITS IN COLLEGE FOOTBALL GAMES, IT IS IMPORTANT TO PROPERLY MANAGE TEAM POWERFULNESS AND ITS LEGAL AND ETHICAL BEHAVIOR. IN THIS WAY, A POSITIVE REPUTATION CAN LEVERAGE GAME ATTENDANCE TO A LARGER EXTENT."
"IVAKOVIC I, 2019, EKON ISTRAZ";"THE AIM OF THIS STUDY IS TO CONTRIBUTE TO A BETTER UNDERSTANDING OF THE STAKEHOLDER-STRATEGY RELATIONSHIP IN NON-PROFIT SPORT DUBS AND TO ANSWER THE FOLLOWING QUESTIONS; (1) HOW HIERARCHIES OF ORGANISATIONAL AIMS AND ACTUAL STRATEGIC DECISIONS CHANGE DUE TO INVOLVEMENT OF CERTAIN INTEREST GROUPS IN THE STRATEGIC PROCESSES OF THE OBSERVED ORGANISATIONS; (2) HOW CLUBS ON DIFFERENT QUALITY LEVELS DIFFERENTIATE REGARDING STAKEHOLDERS' HIERARCHIES, HIERARCHIES OF AIMS, AND REGARDING ACTUAL STRATEGIC DECISIONS. THE DATA WERE COLLECTED FROM 73 BASKETBALL DUBS FROM FOUR SOUTH-EAST EUROPEAN COUNTRIES. FINDINGS SHOW THAT PRIVATE SPONSORS ARE THE MOST INFLUENTIAL STAKEHOLDERS IN TOP QUALITY DUBS THAT PURSUE TOP SPORT AND FINANCIAL RESULTS MORE THAN LOCAL COMMUNITY INCLUSION AND OTHER NON-PROFIT OBJECTIVES. HIGHER-QUALITY LEVEL CLUBS PURSUE COST REDUCTIONS, TOP SPORT RESULTS, AND FAST RESULTS, WHILE DUBS WHERE VOLUNTEERS, LOCAL COMMUNITIES, THE STATE AND MUNICIPAL AUTHORITIES HAD STRONGER IMPACT GIVE MORE EMPHASIS TO GROWTH, LOCAL COMMUNITY AIMS, AND LOWERING RISK."
"BARRY AE, 2019, J AM COLL HEALTH";"UNIVERSITY OFFICIALS ARE INCREASINGLY CONSIDERING SELLING ALCOHOLIC BEVERAGES AT CAMPUS FOOTBALL STADIUMS. TO INFORM THIS DECISION, WE REPORT ON OFFENSES OCCURRING AT A CAMPUS FOOTBALL STADIUM AND SURROUNDING COMMUNITY ON GAME DAY WEEKENDS BETWEEN 2009 AND 2013. CAMPUS POLICE LOG DATA FOR 35 HOME FOOTBALL WEEKENDS WERE EXAMINED, ACCOUNTING FOR 1,940 DISTINCT INCIDENTS. THERE WAS A GENERAL UPWARD TREND IN CRIME INCIDENTS. ON AVERAGE, 330 TOTAL CRIME INCIDENTS OCCURRED WHEN ALCOHOL WAS NOT SOLD (2009-2011) COMPARED TO 475 ANNUALLY WHEN ALCOHOL WAS SOLD (2012-2013). LIQUOR LAW VIOLATIONS AND ALCOHOL CONSUMPTION BY A MINOR WERE THE TWO MOST FREQUENTLY CITED OFFENSES. LIQUOR LAW VIOLATIONS (317) WAS HIGHEST AFTER ALCOHOL SALES INITIATED. POLICE INCIDENTS WERE MARKEDLY HIGHER WHEN PLAYING A TRADITIONAL FOOTBALL RIVAL AT HOME. COLLEGE ADMINISTRATORS, HEALTH OFFICIALS, ATHLETIC DEPARTMENTS, AND LOCAL LAW ENFORCEMENT MUST WORK TOGETHER TO WEIGH THE POTENTIAL BENEFIT OF ENHANCED FINANCIAL PROFIT AGAINST THE RISK OF INCREASED ALCOHOL-RELATED CRIME."
"CRETAN R, 2019, URBAN GEOGR";"RECENT SCHOLARSHIP IN CRITICAL TOPONYMY HAS RAISED QUESTIONS ABOUT THE IMPACTS ON URBAN RESIDENTS OF SELLING NAMING RIGHTS AND THE POSSIBILITY OF CONTESTING THE COMMODIFICATION OF URBAN PLACE NAMES. THIS ARTICLE EXAMINES THESE ISSUES USING POLI TIMIOARA, THE MAJOR FOOTBALL TEAM OF TIMIOARA, ROMANIA, AS A CASE STUDY. THE CASH-STRAPPED LOCAL AUTHORITY SOLD THE NAMING RIGHTS FOR THE TEAM TO RAISE REVENUE. HOWEVER, WHEN THE CLUB'S PRIVATE OWNER WAS UNABLE TO FINANCE THE TEAM, THE LOCAL AUTHORITY REACQUIRED THE NAMING RIGHTS OF POLI, NOW UNDER THE NAME ASOCIAIA CLUB SPORTIV POLI (A NEW TEAM WITH A SMALL FAN BASE). DRAWING ON THE EVERYDAY NARRATIVES OF FANS, THIS ARTICLE EXPLORES HOW THE COMMODIFICATION OF A LOCAL CLUB NAME CAN CAUSE SOCIAL TENSIONS. THIS IS IMPORTANT FOR UNDERSTANDING URBAN RESIDENTS' ACCESS, OR LACK THEREOF, TO SOCIAL CAPITAL RESOURCES AND HOW THIS LEADS TO THE MANIFESTATION OF SOCIAL INEQUALITIES WHICH CO-DETERMINE FANS' REACTIONS AND RESPONSES TO THE CHANGE IN THE NAME OF A SPORTS TEAM. THE FINDINGS SUGGEST THAT COMMODIFYING NAMES CAN MOBILIZE SERIOUS CONTESTATIONS AMONG PARTISAN GROUPS ABOUT WHO OWNS THE NAME, ALTHOUGH SUCH CONTESTATIONS APPEAR TO BE ON UNCERTAIN GROUND BECAUSE OF POST-COMMUNIST URBAN PRACTICES OF DELAYED ECONOMIC RESTRUCTURING."
"GIRMA Y, 2019, URBAN FOR URBAN GREEN";"GREEN SPACES PLAY AN IMPORTANT ROLE IN IMPROVING THE LIVABILITY OF CITIES BUT ARE UNDER HIGH PRESSURE FROM DEVELOPMENT IN RAPIDLY URBANIZING COUNTRIES. UNDERSTANDING THE USE OF URBAN GREEN SPACES AND HOW THIS RELATES TO THEIR MANAGEMENT IS ESSENTIAL TO EFFECTIVELY PROVIDE DIFFERENT FUNCTIONS AND HENCE INCREASE THEIR VALUE AND BETTER PROTECTION. RESEARCHES ON GREEN SPACE USE AND MANAGEMENT HAVE BEEN FREQUENTLY CONDUCTED IN DEVELOPED COUNTRIES. HOWEVER, LITTLE IS KNOWN ABOUT HOW PEOPLE ACROSS CITIES IN SUB-SAHARAN AFRICA UTILIZE AND MANAGE URBAN GREEN SPACES. THEREFORE, THIS STUDY ATTEMPTS TO ANALYZE THE USE AND MANAGEMENT OF GREEN SPACES IN URBAN CENTERS OF ETHIOPIA WITH REFERENCE TO THE EMERGING TOWNS OF THE OROMIA SPECIAL ZONE SURROUNDING FINFINNE. THE STUDY EMPLOYED A HOUSEHOLD SURVEY, WHICH WAS UNDERPINNED BY INTERVIEWS AND FOCUS GROUP DISCUSSION. THE QUANTITATIVE DATA WAS ANALYZED THROUGH DESCRIPTIVE STATISTICS WHILE THE QUALITATIVE DATA IS ANALYZED THROUGH CONTENT AND CONTEXT ANALYSIS. RESULTS INDICATED THAT 71.9\%, 67.9\% AND 73.7\% OF RESPONDENTS IN LEGETAFO, SEBETA AND SULULTA DO NOT HAVE ANY GREEN SPACES IN THEIR NEIGHBORHOOD WHILE VERY FEW RESPONDENTS MENTIONED PLAYGROUNDS AND SPORT FIELDS AS GREEN SPACES. THE STUDY ALSO FOUND THAT RELAXATION AND PHYSICAL EXERCISES SUCH AS FOOTBALL PLAYING AND RUNNING ARE THE MAIN PURPOSES FOR VISITING GREEN SPACES. BASED ON THE RESULT OF THE STUDY MORE THAN HALF OF THE RESPONDENTS DO NOT VISIT URBAN GREEN SPACE. FINANCIAL CONSTRAINTS, LACK OF SKILLED PERSONNEL, LOW COORDINATION BETWEEN INSTITUTIONS, LACK OF LEGAL FRAMEWORKS AND LIMITED AWARENESS OF THE COMMUNITY HAVE CONSTRAINED THE USE AND MANAGEMENT OF GREEN SPACES. THEREFORE, THE STUDY SUGGESTS IMPROVING THE LEGAL FRAMEWORK, ENHANCING PUBLIC PARTICIPATION IN GREEN SPACES DEVELOPMENT AND STRENGTHENING URBAN GREEN SPACE MANAGEMENT SYSTEM AS IMPORTANT MEASURES TO IMPROVE THE USABILITY VIA GREEN SPACE MANAGEMENT IN URBAN AREAS OF ETHIOPIA."
"GEURKINK Y, 2019, INT J SPORT PHYSIOL PERFORM";"PURPOSE: TO PREDICT THE SESSION RATING OF PERCEIVED EXERTION (SRPE) IN SOCCER AND DETERMINE ITS MAIN PREDICTIVE INDICATORS. METHODS: A TOTAL OF 70 EXTERNAL-LOAD INDICATORS (ELIS), INTERNAL-LOAD INDICATORS, INDIVIDUAL CHARACTERISTICS, AND SUPPLEMENTARY VARIABLES WERE USED TO BUILD A PREDICTIVE MODEL. RESULTS: THE ANALYSIS USING GRADIENT-BOOSTING MACHINES SHOWED A MEAN ABSOLUTE ERROR OF 0.67 (0.09) ARBITRARY UNITS (AU) AND A ROOT-MEAN-SQUARE ERROR OF 0.93 (0.16) AU. ELIS WERE FOUND TO BE THE STRONGEST PREDICTORS OF THE SRPE, ACCOUNTING FOR 61.5\% OF THE TOTAL NORMALIZED IMPORTANCE (NI), WITH TOTAL DISTANCE AS THE STRONGEST PREDICTOR. THE INCLUDED INTERNAL-LOAD INDICATORS AND INDIVIDUAL CHARACTERISTICS ACCOUNTED ONLY FOR 1.0\% AND 4.5\%, RESPECTIVELY, OF THE TOTAL NI. PREDICTIVE ACCURACY IMPROVED WHEN INCLUDING SUPPLEMENTARY VARIABLES SUCH AS GROUP-BASED SRPE PREDICTIONS (10.5\% OF NI), INDIVIDUAL DEVIATION VARIABLES (5.8\% OF NI), AND INDIVIDUAL PLAYER MARKERS (17.0\% OF NI). CONCLUSIONS: THE RESULTS SHOWED THAT THE SRPE CAN BE PREDICTED QUITE ACCURATELY USING ONLY A RELATIVELY LIMITED NUMBER OF TRAINING OBSERVATIONS. ELIS ARE THE STRONGEST PREDICTORS OF THE SRPE. HOWEVER, IT IS USEFUL TO INCLUDE A BROAD RANGE OF VARIABLES OTHER THAN ELIS, BECAUSE THE ACCUMULATED IMPORTANCE OF THESE VARIABLES ACCOUNTS FOR A REASONABLE COMPONENT OF THE TOTAL NI. APPLICATIONS RESULTING FROM PREDICTIVE MODELING OF THE SRPE CAN HELP COACHING STAFF PLAN, MONITOR, AND EVALUATE BOTH THE EXTERNAL AND INTERNAL TRAINING LOAD."
"LOMBARDO G, 2019, SUSTAINABILITY";"THIS PAPER EVALUATES THE SOCIAL IMPACT OF A FOOTBALL CLUB AND ITS PHILANTHROPIC ORGANIZATION ON THE LOCAL COMMUNITY AND ITS STAKEHOLDERS, NAMELY SUPPORTERS, SPONSORS, PLAYERS, AND SHOPKEEPERS. THE METHODOLOGY USED IS THE SOCIAL RETURN ON INVESTMENT (SROI). SROI METHODOLOGY INCLUDES ALL THE BENEFICIARIES THAT ARE BEYOND THE SCOPE OF THE COMPANY'S ACCOUNTING AND ITS FISCAL AND FINANCIAL STATEMENTS. THE AIM IS TO ASSESS BOTH THE BENEFITS AND THE NEGATIVE IMPACTS OF A COMPANY'S ACTIVITIES ON STAKEHOLDERS. THIS TYPE OF ANALYSIS COMBINES THE USE OF QUALITATIVE, QUANTITATIVE AND FINANCIAL INFORMATION GATHERED AND ANALYZES THEM IN ORDER TO ESTIMATE THE AMOUNT OF `` VALUE'' INCLUDING MENTAL HEALTH AND WELL-BEING, CREATED OR DESTROYED BY A BUSINESS ACTIVITY, BY A PROJECT OR BY THE OVERALL OPERATION OF AN ORGANIZATION. THE SPORT CLUB UNDER REVIEW IN THE PRESENT ANALYSIS IS CALLED VIRTUS ENTELLA, AN ITALIAN FOOTBALL CLUB PLAYING IN THE SECOND DIVISION. AN SROI INDICATOR WAS APPLIED IN REFERENCE TO THE BUSINESS ACTIVITY THAT TOOK PLACE DURING THE CHAMPIONSHIP SEASON 2017 / 2018. RESULTS SHOW THAT THE SOCIAL IMPACT CREATED DURING THE CHAMPIONSHIP AMOUNTS TO APPROXIMATELY 44 MILLION EURO AGAINST A FINANCIAL INVESTMENT OF 15 MILLION EURO, PRODUCING AN SROI RATIO OF 2.98: 1. THIS OUTCOME SUGGESTS THAT FOR EVERY EURO INVESTED BY THE FOOTBALL CLUB, ABOUT 3 EUROS OF SOCIAL VALUE IS CREATED."
"ROCKLOFF MJ, 2019, J BEHAV ADDICT";"BACKGROUND AND AIMS: INCENTIVES FOR WAGERING PRODUCTS CAN PROVIDE EXTRA VALUE TO GAMBLERS. HOWEVER, THERE IS NO FINANCIAL REASON WHY THIS ADDED VALUE SHOULD LEAD PEOPLE TO TAKE GREATER GAMBLING RISKS. THIS STUDY AIMED TO EXPERIMENTALLY TEST IF WAGERING INCENTIVES CAUSE GAMBLERS TO CHOOSE HIGHER-RISK (LONG ODDS) BETS THAN UN-INCENTIVIZED BETS. METHODS: AN ONLINE EXPERIMENT WAS CONDUCTED WITH WAGERING CUSTOMERS (N = 299, FEMALE = 12). PARTICIPANTS BET \$4 ON EACH OF SIX VIDEO GAME SIMULATIONS OF A SPORT THAT THEY HAD WAGERED ON IN THE PAST 12 MONTHS (AUSTRALIAN FOOTBALL LEAGUE, CRICKET, OR SOCCER). EACH GAME OFFERED DIFFERENT COMMON WAGERING INCENTIVES: BONUS BET, BETTER ODDS/WINNINGS, REDUCED RISK, CASH REBATE, PLAYER'S CHOICE OF INDUCEMENT, OR NO-INDUCEMENT. FOR EACH GAME, PARTICIPANTS COULD BET ON LONG, MEDIUM, OR SHORT ODDS, AND SUBSEQUENTLY VIEWED A HIGHLIGHT REEL OF THE SIMULATED GAME OUTCOME AND BET OUTCOME. RESULTS: PARTICIPANTS SELECTED SIGNIFICANTLY LONGER ODDS (I.E., RISKIER) BETS ON GAMES WHEN AN INCENTIVE WAS OFFERED COMPARED TO THE NO-INDUCEMENT CONDITION. BETTER ODDS/WINNINGS WAS THE MOST ATTRACTIVE INCENTIVE, FOLLOWED BY BONUS BET, CASH REBATE, REDUCED RISK, AND NO-INCENTIVE, RESPECTIVELY. NO SIGNIFICANT DIFFERENCES WERE OBSERVED BASED ON DEMOGRAPHICS OR PROBLEM GAMBLING SEVERITY. DISCUSSION AND CONCLUSIONS: THE CHOICE OF LONG ODDS WITH INCENTIVIZED BETS INCREASES THE VOLATILITY OF PLAYER RETURNS. INCREASED VOLATILITY RESULTS IN MORE GAMBLERS IN A LOSING POSITION AND FEWER GAMBLERS WITH LARGER WINS. MOREOVER, IF LONG ODDS BETS ARE PRICED TO PROVIDE POORER VALUE TO BETTORS COMPARED TO SHORT ODDS, THEY WOULD INCREASE GAMBLERS' LOSSES AND EQUIVALENTLY INCREASE OPERATORS' PROFITS."
"REZAEI Z, 2019, ANN APPL SPORT SCI";"BACKGROUND. THE CLUBS OF THE PREMIER LEAGUE AND THE BASKETBALL FEDERATION NEED TO ATTRACT AND RETAIN FANS AND SPONSORS IN ORDER TO EARN FINANCIAL REVENUES, THROUGH THE PROPER MODEL OF BRANDING, TO BE OF INTEREST TO THE MEDIA AND CUSTOMERS. OBJECTIVES. THUS, THE PURPOSE OF THIS STUDY WAS TO IDENTIFY THE INTERNAL FACTORS AND CHALLENGES IN THE BRANDING OF THE IRANIAN BASKETBALL LEAGUE. METHODS. THIS RESEARCH BASED ON PURPOSE IS PRACTICAL AND BASED ON FIELD RESEARCH IS A QUALITATIVE RESEARCH TYPE. THE STATISTICAL POPULATION OF THIS STUDY CONSISTED OF KNOWLEDGEABLE EXPERTS IN THE FIELD OF BRAND AND BASKETBALL SPORT. BASED ON SNOWBALL SAMPLING METHOD, TO THE EXTENT OF REACHING THE THEORETICAL SATURATION, 19 INDIVIDUALS WERE SELECTED AS A STATISTICAL SAMPLE. IN THIS STUDY, THE DATA COLLECTION TOOL WAS A QUALITATIVE INTERVIEW. GROUNDED THEORY WAS USED TO COLLECT AND ANALYZE DATA. RESULTS. TOTALLY 89 TOKENS WERE IDENTIFIED IN THE OPEN SOURCE CODING PROCESS, THAT IN THE FIRST STAGE, CODING WAS CLASSIFIED INTO 11 CLASSES IN TERMS OF SUBJECT AND CONCEPT CLOSENESS. ALSO, RESULTS SHOWED THAT THE FACTORS AND CHALLENGES OF THE BRANDING IN IRANIAN BASKETBALL LEAGUE WERE THREE MAIN FACTORS, SUCH AS THE PHILOSOPHY AND NATURE OF BASKETBALL AND THE NATURE OF SPORT. CONCLUSION. BASED ON OUR RESULTS, IDENTIFICATION OF THE INTERNAL BRANDING FACTORS AND CHALLENGES OF THE IRANIAN BASKETBALL LEAGUE WAS RECOGNIZED AND THE PROPOSED MODEL WAS PRESENTED BASED ON IDENTIFIED CASES AT THREE LEVELS OF OPERATIONAL, INTERMEDIATE AND STRATEGIC."
"CHELMIS E, 2019, OPER RES";"FOOTBALL IN GREECE, AS WELL AS IN WHOLE WORLD, EXCEEDS THE LIMITS OF SIMPLY THE MOST COMMERCIAL AND WIDESPREAD SPORT, BECOMING ADDITIONALLY A MAJOR ISSUE IN THE POLITICAL AGENDA. THIS CAN EASILY BECOME UNDERSTOOD, OBSERVING THE IMPACT OF CRUCIAL FOOTBALL EVENTS (MUNDIAL, EURO CUP, CHAMPION'S LEAGUE ETC.) IN WORLD LEVEL. BESIDES THE ABOVE EVENTS, EACH FOOTBALL LEAGUE ATTRACTS THE INTEREST OF PEOPLE, MEDIA AND POLITICIANS. MANY STUDIES HAVE BEEN DONE IN THIS FIELD, FOCUSING MOSTLY ON THE EFFICIENCY OF FOOTBALL CLUBS, ESPECIALLY IN COUNTRIES SUCH AS ENGLAND, SPAIN AND GERMANY. THE AIM OF THIS PAPER IS TO EXAMINE THE PERFORMANCE OF GREEK FOOTBALL CLUBS COMPETING IN THE SUPERLEAGUE FOR THE PERIOD 2012-2014, REGARDING THREE DIFFERENT ASPECTS (FINANCIAL, COMMERCIAL AND SPORT). OUR STUDY DIFFERENTIATES FROM SIMILAR STUDIES IN THE FOLLOWING POINTS: (A) THREE DIFFERENT DIMENSIONS ARE EXAMINED IN ORDER TO OBTAIN A GLOBAL VIEW OF FOOTBALL CLUBS, (B) THE SAMPLE REGARDS GREEK SUPERLEAGUE TEAMS, A REGIONAL AND NOT SO WEALTHY CHAMPIONSHIP COMPARED TO OTHER EUROPEANS, AND (C) THE AIM IS TO RANK THE TEAMS, ACCORDANCE TO THESE ASPECTS AND NOT IDENTIFY THE EFFICIENT AND NOT EFFICIENT TEAMS. A WELL-KNOWN AND ESTABLISHED MULTIPLE-CRITERIA DECISION MAKING METHOD (PROMETHEE II) IS USED, WHICH HAS BEEN FOUND APPROPRIATE IN SEVERAL TOPICS REGARDING RANKING PROBLEMS. IN ORDER OUR RESULTS TO BE MEANINGFUL, A DECISION MAKER ASSISTED IN THE SELECTION OF THE MOST INFLUENTIAL FACTORS IN FOOTBALL CLUBS EVALUATION. THE RESULTS PARTLY VERIFY EARLIER STUDIES, SINCE FOOTBALL CLUBS, WITH A FEW EXCEPTIONS AND SURPRISES, WERE FOUND FINANCIALLY IMBALANCED, WITH STRONG PROFITABILITY, SOLVENCY AND LIQUIDITY PROBLEMS. THE DEPENDENCE OF GREEK SUPERLEAGUE ON TELEVISION RIGHTS AND THE BASIC SPONSORSHIP OF OPAP (STATE BETTING COMPANY) IS HIGHLY CONSPICUOUS AMID THE WIDER AND MUCH DISCUSSED EUROPEAN ECONOMIC CRISIS IN THE FIELD OF FOOTBALL. DEVELOPMENT TRENDS VIA PROPOSALS OF SPECIFIC ECONOMIC AND SOCIAL ACTIVITIES ARE LISTED, IN RESPONSE TO THE STATE AND ADMINISTRATIVE MISMANAGEMENT THROUGHOUT THE YEARS."
"ROYUELA V, 2019, J SPORT ECON";"THIS ARTICLE ANALYZES WHETHER HAVING MORE FOREIGN PLAYERS INFLUENCES THE PERFORMANCE OF FOOTBALL CLUBS. WE DO SO BY COMPARING A CROSS SECTION OF CLOSE TO 1,000 FOOTBALL CLUBS ALL OVER THE WORLD. WE FIND THAT, ON AVERAGE, THOSE CLUBS IN LEAGUES WITH MORE FOREIGN PLAYERS DISPLAY BETTER RESULTS IN THE WORLD RANKINGS. NEVERTHELESS, WITHIN EACH LEAGUE, WHERE ALL CLUBS HAVE THE SAME REGULATIONS, HAVING MORE FOREIGN PLAYERS HAS NO EFFECT. IN THE END, WHEN ALL CLUBS HAVE THE SAME POSSIBILITIES FOR IMPORTING BETTER PLAYERS FROM ABROAD, WHAT MATTERS IS THE FINANCIAL POWER TO CHOOSE THE BETTER ONES."
